objectid,parentid,filename,title,creator,description,date,archival date,subject,latitude,longitude,source,donor,identifier,rights,standardized rights,item_type,format original,type,format,display_template,object_location,image_small,image_thumb
b4-historicalaccounts-008,,b4-HistoricalAccounts-008.pdf,Gold Camps & Silver Cities: Nineteenth Century Mining in Central and Southern Idaho,"Wells, Merle W.",Excerpts from manuscript on Idaho mining focused on Big Creek and Thunder Mountain areas,1983,1983,Big Creek; Thunder Mountain; mining; gold; Silver,42.17272338,-113.6136195,Merle W. Wells; Idaho State Historical Society; National Park Service Historic Preservation Planning Grant,,b4-HistoricalAccounts-008,"In Copyright. Educational Use only. Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions assigned by University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://rightsstatements.org/page/InC-EDU/1.0/?language=en,,text document,Text,application/pdf,pdf,https://www.lib.uidaho.edu/digital/objects/taylorarchive/b4-HistoricalAccounts-008.pdf,https://www.lib.uidaho.edu/digital/objects/taylorarchive/small/b4-historicalaccounts-008_sm.jpg,https://www.lib.uidaho.edu/digital/objects/taylorarchive/thumbs/b4-historicalaccounts-008_th.jpg
b3-wolves-002,,b3-Wolves-002.pdf,Golden Creek Pack Data Sheet,"Akenson, James;Akenson, Holly A.",Trap Log Data Sheet,2005-03-31,31 March 2005,golden creek; Taylor Ranch wolves; coyote,,,,,b3-Wolves-002,"In Copyright. Educational Use only. Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions assigned by University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://rightsstatements.org/page/InC-EDU/1.0/?language=en,,text document,Text,application/pdf,pdf,https://www.lib.uidaho.edu/digital/objects/taylorarchive/b3-Wolves-002.pdf,https://www.lib.uidaho.edu/digital/objects/taylorarchive/small/b3-wolves-002_sm.jpg,https://www.lib.uidaho.edu/digital/objects/taylorarchive/thumbs/b3-wolves-002_th.jpg
b3-wolves-008,,b3-Wolves-008.pdf,Golden Meadows Wolf Trip,"Akenson, James;Robinson, Cinnamon;Pierce, Anna;Hansen, Greg",Daily account of Golden Meadows Wolf Trip,2004-06-16,16 June 2004,wolves; golden meadows; goat creek,45.1754,-114.8021,,,b3-Wolves-008,"In Copyright. Educational Use only. Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions assigned by University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://rightsstatements.org/page/InC-EDU/1.0/?language=en,,text document,Text,application/pdf,pdf,https://www.lib.uidaho.edu/digital/objects/taylorarchive/b3-Wolves-008.pdf,https://www.lib.uidaho.edu/digital/objects/taylorarchive/small/b3-wolves-008_sm.jpg,https://www.lib.uidaho.edu/digital/objects/taylorarchive/thumbs/b3-wolves-008_th.jpg
b1-gospelhumpwilderness-001,,b1-GospelHumpWilderness-001.pdf,Gospel Hump Wilderness Land Management Allocations,U.S. Department of Agriculture Forest Service,Possible land management allocations for the gospel hump wilderness,1997,1997,Wilderness management;Gospel-hump; Nez Perce national forest,45.574796,-115.759278,US Department of Agriculture Forest Service,,b1-GospelHumpWilderness-001,"In Copyright. Educational Use only. Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions assigned by University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://rightsstatements.org/page/InC-EDU/1.0/?language=en,,text document,Text,application/pdf,pdf,https://www.lib.uidaho.edu/digital/objects/taylorarchive/b1-GospelHumpWilderness-001.pdf,https://www.lib.uidaho.edu/digital/objects/taylorarchive/small/b1-gospelhumpwilderness-001_sm.jpg,https://www.lib.uidaho.edu/digital/objects/taylorarchive/thumbs/b1-gospelhumpwilderness-001_th.jpg
b1-gospelhumpwilderness-005,,b1-GospelHumpWilderness-005.pdf,Gospel-Hump Study Plan,Nez Perce National Forest,Strategic plan for management of the gospel-hump wilderness area,1997,1997,Gospel-hump; Nez Perce national forest,45.574796,-115.759278,Nez Perce national forest,,b1-GospelHumpWilderness-005,"In Copyright. Educational Use only. Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions assigned by University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://rightsstatements.org/page/InC-EDU/1.0/?language=en,,text document,Text,application/pdf,pdf,https://www.lib.uidaho.edu/digital/objects/taylorarchive/b1-GospelHumpWilderness-005.pdf,https://www.lib.uidaho.edu/digital/objects/taylorarchive/small/b1-gospelhumpwilderness-005_sm.jpg,https://www.lib.uidaho.edu/digital/objects/taylorarchive/thumbs/b1-gospelhumpwilderness-005_th.jpg
b1-gospelhumpwilderness-006,,b1-GospelHumpWilderness-006.pdf,Gospel-Hump Wilderness Designation,U.S. Department of Agriculture Forest Service,Document outlining the management policy of Gospel-Hump wilderness area under the wilderness act,1977,1977,Gospel-hump; wilderness act; management,45.574796,-115.759278,US Department of Agriculture Forest Service,,b1-GospelHumpWilderness-006,"In Copyright. Educational Use only. Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions assigned by University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://rightsstatements.org/page/InC-EDU/1.0/?language=en,,text document,Text,application/pdf,pdf,https://www.lib.uidaho.edu/digital/objects/taylorarchive/b1-GospelHumpWilderness-006.pdf,https://www.lib.uidaho.edu/digital/objects/taylorarchive/small/b1-gospelhumpwilderness-006_sm.jpg,https://www.lib.uidaho.edu/digital/objects/taylorarchive/thumbs/b1-gospelhumpwilderness-006_th.jpg
b4-correspondence-123,,b4-Correspondence-123.pdf,"Got A Spare Stereoscope, Anyone?",University of Idaho,General News Bulletin from the University of Idaho about research supplies needed for Taylor Ranch.,1985-10-22,22 October 1985,Taylor Ranch supplies;bighorn sheep; herbarium,45.1032419,-114.8506688,University of Idaho,,b4-Correspondence-123,"In Copyright. Educational Use only. Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions assigned by University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://rightsstatements.org/page/InC-EDU/1.0/?language=en,,news article,Text,application/pdf,pdf,https://www.lib.uidaho.edu/digital/objects/taylorarchive/b4-Correspondence-123.pdf,https://www.lib.uidaho.edu/digital/objects/taylorarchive/small/b4-correspondence-123_sm.jpg,https://www.lib.uidaho.edu/digital/objects/taylorarchive/thumbs/b4-correspondence-123_th.jpg
b5-remotesensinganthropological-004,,b5-RemoteSensingAnthropological-004.pdf,"Grant application and proposal to Resources for the Future, Inc.","Ulliman, Joseph J.;Akenson, James","Grant application and proposal to Resources for the Future, Inc. about development at Taylor Ranch.",1987-02-26,26 February 1987,;wilderness,45.1032419,-114.8506688,,Taylor Ranch,b5-RemoteSensingAnthropological-004,"In Copyright. Educational Use only. Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions assigned by University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://rightsstatements.org/page/InC-EDU/1.0/?language=en,,text document,Text,application/pdf,pdf,https://www.lib.uidaho.edu/digital/objects/taylorarchive/b5-RemoteSensingAnthropological-004.pdf,https://www.lib.uidaho.edu/digital/objects/taylorarchive/small/b5-remotesensinganthropological-004_sm.jpg,https://www.lib.uidaho.edu/digital/objects/taylorarchive/thumbs/b5-remotesensinganthropological-004_th.jpg
b06-maps04,,b06-Maps04.pdf,Grayscale aerial map photograph,,Aerial (film) photograph presumably of FCRNR Wilderness. Bottom of film reads '84/7 Kodak Aerographic Safety Film IA',1957-07-16,16 July 1957,aerial photography; forest reserves,,,,Taylor Ranch,b06-Maps04,"In Copyright. Educational Use only. Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions assigned by University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://rightsstatements.org/page/InC-EDU/1.0/?language=en,,text document,Text,application/pdf,pdf,https://www.lib.uidaho.edu/digital/objects/taylorarchive/b06-Maps04.pdf,https://www.lib.uidaho.edu/digital/objects/taylorarchive/small/b06-maps04_sm.jpg,https://www.lib.uidaho.edu/digital/objects/taylorarchive/thumbs/b06-maps04_th.jpg
b08-payettenationalforestliterature13,,b08-PayetteNationalForestLiterature13.pdf,Grizzly Bears on the Payette National Forest,"Bean, Kolleen M.","Written by Kolleen Bean, this document provides a basic description of Grizzly Bears and details their history in the Payette National Forest.",1998-12,December 1998,ursus arctos horribilis (subspecies); bears;local history; hunting; wild animals; zoology,45.10463718,-115.7719946,Payette National Forest Heritage Program,Taylor Ranch,b08-PayetteNationalForestLiterature13,"In Copyright. Educational Use only. Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions assigned by University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://rightsstatements.org/page/InC-EDU/1.0/?language=en,,text document,Text,application/pdf,pdf,https://www.lib.uidaho.edu/digital/objects/taylorarchive/b08-PayetteNationalForestLiterature13.pdf,https://www.lib.uidaho.edu/digital/objects/taylorarchive/small/b08-payettenationalforestliterature13_sm.jpg,https://www.lib.uidaho.edu/digital/objects/taylorarchive/thumbs/b08-payettenationalforestliterature13_th.jpg
b3-fish-005,,b3-Fish-005.pdf,"Growth and Population Densities of Two Sympatric Trouts, Big Creek, Idaho Primitive Area","Jateff, Robert James",,1977-04-01,1 April 1977,Big Creek; Salmon River; middle fork system; steelhead; salmo gairdneri; Cutthroat,,,,,b3-Fish-005,"In Copyright. Educational Use only. Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions assigned by University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://rightsstatements.org/page/InC-EDU/1.0/?language=en,,text document,Text,application/pdf,pdf,https://www.lib.uidaho.edu/digital/objects/taylorarchive/b3-Fish-005.pdf,https://www.lib.uidaho.edu/digital/objects/taylorarchive/small/b3-fish-005_sm.jpg,https://www.lib.uidaho.edu/digital/objects/taylorarchive/thumbs/b3-fish-005_th.jpg
b9-237,,b9-237.pdf,"Growth and Population Densities of Two Sympatric Trouts, Big Creek, Idaho Primitive Area Cover Page","Jateff, Robert James","A cover page for ""Growth and Population Densities of Two Sympatric Trouts, Big Creek, Idaho Primitive Area,"" by Robert James Jateff.",1977-04-01,1 April 1977,trout;wilderness;proposals,,,,Taylor Ranch,b9-237,"In Copyright. Educational Use only. Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions assigned by University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://rightsstatements.org/page/InC-EDU/1.0/?language=en,,text document,Text,application/pdf,pdf,https://www.lib.uidaho.edu/digital/objects/taylorarchive/b9-237.pdf,https://www.lib.uidaho.edu/digital/objects/taylorarchive/small/b9-237_sm.jpg,https://www.lib.uidaho.edu/digital/objects/taylorarchive/thumbs/b9-237_th.jpg
b06-wildernessmanagement75,,b06-WildernessManagement75.pdf,H.R. 6957,U.S. House of Representatives,"The text of H.R. 6957, a bill to establish the Sawtooth National Recreation Area in the State of Idaho, to temporarily withdraw certain national forest land in the State of Idaho from the operation of the United States mining laws, and for other purposes.",1971-03-30,30 March 1971,ecology; land management,,,,Taylor Ranch,b06-WildernessManagement75,"In Copyright. Educational Use only. Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions assigned by University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://rightsstatements.org/page/InC-EDU/1.0/?language=en,,text document,Text,application/pdf,pdf,https://www.lib.uidaho.edu/digital/objects/taylorarchive/b06-WildernessManagement75.pdf,https://www.lib.uidaho.edu/digital/objects/taylorarchive/small/b06-wildernessmanagement75_sm.jpg,https://www.lib.uidaho.edu/digital/objects/taylorarchive/thumbs/b06-wildernessmanagement75_th.jpg
